sym,pipsize
EUR/USD,0.0001
EUR/CHF,0.0001
EUR/GBP,0.0001
EUR/JPY,0.01
EUR/AUD,0.0001
USD/CAD,0.0001
USD/CHF,0.0001
USD/JPY,0.01
USD/MXN,0.0001
GBP/CHF,0.0001
GBP/JPY,0.01
GBP/USD,0.0001
AUD/JPY,0.01
AUD/USD,0.0001
CHF/JPY,0.01
NZD/JPY,0.01
NZD/USD,0.0001
XAU/USD,0.0001
EUR/CAD,0.0001
AUD/CAD,0.0001
CAD/JPY,0.01
EUR/NZD,0.0001
GRX/EUR,0.0001
NZD/CAD,0.0001
SGD/JPY,0.01
USD/HKD,0.0001
USD/NOK,0.0001
USD/TRY,0.0001
AUD/CHF,0.0001
AUX/AUD,0.0001
EUR/HUF,0.0001
EUR/PLN,0.0001
FRX/EUR,0.0001
HKX/HKD,0.0001
NZD/CHF,0.0001
SPX/USD,0.0001
USD/HUF,0.0001
USD/PLN,0.0001
USD/ZAR,0.001
ZAR/JPY,0.01
BCO/USD,0.0001
EUR/CZK,0.0001
EUR/SEK,0.0001
GBP/AUD,0.0001
GBP/NZD,0.0001
JPX/JPY,0.01
UDX/USD,0.0001
USD/CZK,0.0001
USD/SEK,0.0001
WTI/USD,0.0001
AUD/NZD,0.0001
CAD/CHF,0.0001
EUR/DKK,0.0001
EUR/NOK,0.0001
EUR/TRY,0.0001
GBP/CAD,0.0001
NSX/USD,0.0001
UKX/GBP,0.0001
USD/DKK,0.0001
USD/SGD,0.0001
XAG/USD,0.0001
JPY/USD,0.0001
CAD/USD,0.0001
CHF/USD,0.0001
USD/EUR,0.0001
JPY/EUR,0.0001
GBP/EUR,0.0001
AUD/EUR,0.0001
CAD/EUR,0.0001
CHF/EUR,0.0001
NZD/EUR,0.0001
USD/GBP,0.0001
JPY/GBP,0.0001
AUD/GBP,0.0001
CAD/GBP,0.0001
CHF/GBP,0.0001
NZD/GBP,0.0001
USD/AUD,0.0001
JPY/AUD,0.0001
CAD/AUD,0.0001
CHF/AUD,0.0001
NZD/AUD,0.0001
JPY/CAD,0.0001
CHF/CAD,0.0001
JPY/CHF,0.0001
USD/NZD,0.0001
JPY/NZD,0.0001
CAD/NZD,0.0001
CHF/NZD,0.0001
